"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",5842398.4203255735
"af","Africa","afbdi","Burundi","bdi",384528.3712287734
"af","Africa","afben","Benin","ben",2103677.7043829197
"af","Africa","afbfa","Burkina Faso","bfa",10823474.192900673
"af","Africa","afcaf","Central African Republic","caf",4915
"af","Africa","afciv","Cote d'Ivoire","civ",38207120.217050985
"af","Africa","afcmr","Cameroon","cmr",4841160
"af","Africa","afcod","Democratic Republic of the Congo","cod",5914848
"af","Africa","afcog","Republic of the Congo","cog",2471351
"af","Africa","afcom","Comoros","com",5711
"af","Africa","afcpv","Cape Verde","cpv",655798.6264729799
"af","Africa","afdji","Djibouti","dji",198057
"af","Africa","afdza","Algeria","dza",283375069
"af","Africa","afegy","Egypt","egy",424088743.5521568
"af","Africa","aferi","Eritrea","eri",9443.999999999998
"af","Africa","afeth","Ethiopia","eth",15205768
"af","Africa","afgab","Gabon","gab",1354403
"af","Africa","afgha","Ghana","gha",17598837.56780305
"af","Africa","afgin","Guinea","gin",2563286
"af","Africa","afgmb","Gambia","gmb",303239.97706851957
"af","Africa","afgnq","Equatorial Guinea","gnq",194009
"af","Africa","afken","Kenya","ken",49053649.64825142
"af","Africa","aflbr","Liberia","lbr",811168
"af","Africa","aflby","Libya","lby",5927816
"af","Africa","afmar","Morocco","mar",413695965.2876178
"af","Africa","afmdg","Madagascar","mdg",6087793.793247549
"af","Africa","afmli","Mali","mli",10184993
"af","Africa","afmoz","Mozambique","moz",4765435.394223827
"af","Africa","afmrt","Mauritania","mrt",1754039
"af","Africa","afmus","Mauritius","mus",12593208.08810758
"af","Africa","afmwi","Malawi","mwi",281785
"af","Africa","afner","Niger","ner",1227795
"af","Africa","afnga","Nigeria","nga",64154502.81290851
"af","Africa","afrwa","Rwanda","rwa",2202130
"af","Africa","afsdn","Sudan","sdn",10286832.999999998
"af","Africa","afsen","Senegal","sen",20444775.29459333
"af","Africa","afshn","Saint Helena","shn",349568.00000000006
"af","Africa","afsle","Sierra Leone","sle",105604
"af","Africa","afsom","Somalia","som",156638
"af","Africa","afssd","South Sudan","ssd",268591
"af","Africa","afstp","Sao Tome and Principe","stp",3771.4619455289503
"af","Africa","afsyc","Seychelles","syc",3657934.780685349
"af","Africa","aftcd","Chad","tcd",2155974.0000000005
"af","Africa","aftgo","Togo","tgo",2915557
"af","Africa","aftun","Tunisia","tun",165576318
"af","Africa","aftza","Tanzania","tza",19910938.837286897
"af","Africa","afuga","Uganda","uga",15076190.095903225
"af","Africa","afzaf","South Africa","zaf",686161639.7254075
"af","Africa","afzmb","Zambia","zmb",4080858.5245569446
"af","Africa","afzwe","Zimbabwe","zwe",2048786.5604025277
"an","Antarctica","anatf","French South Antarctic Territory","atf",193699
"as","Asia","asafg","Afghanistan","afg",17116404.73422293
"as","Asia","asare","United Arab Emirates","are",763094065.1934559
"as","Asia","asarm","Armenia","arm",70208239.85278384
"as","Asia","asaze","Azerbaijan","aze",83852218.3361652
"as","Asia","asbgd","Bangladesh","bgd",53860410
"as","Asia","asbhr","Bahrain","bhr",49421903.61719753
"as","Asia","asbrn","Brunei","brn",990006.1569704056
"as","Asia","asbtn","Bhutan","btn",90207.00000000001
"as","Asia","aschn","China","chn",2767979652.2867765
"as","Asia","ascyp","Cyprus","cyp",72274237.58546084
"as","Asia","asgeo","Georgia","geo",94193774.68534099
"as","Asia","ashkg","Hong Kong","hkg",414824399.5619384
"as","Asia","asidn","Indonesia","idn",151344169.4541536
"as","Asia","asind","India","ind",713511689.0508178
"as","Asia","asirn","Iran","irn",69175743
"as","Asia","asirq","Iraq","irq",48195374
"as","Asia","asisr","Israel","isr",1013289327.4910089
"as","Asia","asjor","Jordan","jor",57843644.69052445
"as","Asia","asjpn","Japan","jpn",1140679028.8929653
"as","Asia","askaz","Kazakhstan","kaz",288381403.352403
"as","Asia","askgz","Kyrgyzstan","kgz",9730607.615565155
"as","Asia","askhm","Cambodia","khm",5336093
"as","Asia","askor","South Korea","kor",563503531.093134
"as","Asia","askwt","Kuwait","kwt",103745456.59228997
"as","Asia","aslao","Laos","lao",28891718
"as","Asia","aslbn","Lebanon","lbn",74017134.25423408
"as","Asia","aslka","Sri Lanka","lka",8914679
"as","Asia","asmac","Macau","mac",5580603
"as","Asia","asmdv","Maldives","mdv",7181525.274329977
"as","Asia","asmmr","Burma","mmr",7796796.888457736
"as","Asia","asmng","Mongolia","mng",13741312.765314795
"as","Asia","asmys","Malaysia","mys",235535289.1159346
"as","Asia","asnpl","Nepal","npl",6351843
"as","Asia","asomn","Oman","omn",56804582.05269149
"as","Asia","aspak","Pakistan","pak",64867119.52478363
"as","Asia","asphl","Philippines","phl",126547251.60087392
"as","Asia","aspse","Palestine","pse",9076992.759214591
"as","Asia","asqat","Qatar","qat",116877832.60154481
"as","Asia","assau","Saudi Arabia","sau",695835034.5594807
"as","Asia","assgp","Singapore","sgp",398650452.78814197
"as","Asia","assyr","Syria","syr",5966607
"as","Asia","astha","Thailand","tha",220077663.12853694
"as","Asia","astjk","Tajikistan","tjk",6076330
"as","Asia","astkm","Turkmenistan","tkm",6255254
"as","Asia","astls","Timor-Leste","tls",40883
"as","Asia","astur","Turkey","tur",2314965374.8637114
"as","Asia","asuzb","Uzbekistan","uzb",59924991.72806388
"as","Asia","asvnm","Vietnam","vnm",140812727
"as","Asia","asxxb","Chinese Taipei",,246954337.71995753
"as","Asia","asyem","Yemen","yem",3867623
"eu","Europe","eualb","Albania","alb",54938630.591228165
"eu","Europe","euand","Andorra","and",2826082.3434046227
"eu","Europe","euaut","Austria","aut",8800655392.935469
"eu","Europe","eubgr","Bulgaria","bgr",947617843.8034077
"eu","Europe","eubih","Bosnia and Herzegovina","bih",191747919.16541472
"eu","Europe","eublr","Belarus","blr",341073953.5545026
"eu","Europe","eublx","Belgium-Luxembourg","blx",4691236830.484228
"eu","Europe","euche","Switzerland","che",2689940307.62275
"eu","Europe","eudeu","Germany","deu",63688111451.5275
"eu","Europe","eudnk","Denmark","dnk",1828706582.0203192
"eu","Europe","euesp","Spain","esp",6217166281.440519
"eu","Europe","euest","Estonia","est",389605504.3284083
"eu","Europe","eufin","Finland","fin",1154373693.9402254
"eu","Europe","eufra","France","fra",10181458614.578892
"eu","Europe","eugbr","United Kingdom","gbr",9203628599.319885
"eu","Europe","eugib","Gibraltar","gib",10738685.000000002
"eu","Europe","eugrc","Greece","grc",516823834.16816777
"eu","Europe","euhrv","Croatia","hrv",741545860.680603
"eu","Europe","euhun","Hungary","hun",5975581064.845008
"eu","Europe","euirl","Ireland","irl",1316339771.5675757
"eu","Europe","euisl","Iceland","isl",61139061.57203727
"eu","Europe","euita","Italy","ita",8064743847.745393
"eu","Europe","eultu","Lithuania","ltu",715299945.5669703
"eu","Europe","eulva","Latvia","lva",303956747.7176992
"eu","Europe","eumda","Moldova","mda",84078519.93745509
"eu","Europe","eumkd","North Macedonia","mkd",130975663.70852558
"eu","Europe","eumlt","Malta","mlt",34387552.76592674
"eu","Europe","eumne","Montenegro","mne",85539371.97580732
"eu","Europe","eunld","Netherlands","nld",7446547262.931761
"eu","Europe","eunor","Norway","nor",914714602.8695235
"eu","Europe","eupol","Poland","pol",11860607786.502968
"eu","Europe","euprt","Portugal","prt",729115666.5558522
"eu","Europe","eurou","Romania","rou",2993307078.693191
"eu","Europe","eurus","Russia","rus",4145074891.938637
"eu","Europe","eusmr","San Marino","smr",1029812
"eu","Europe","eusrb","Serbia","srb",666776822.2583716
"eu","Europe","eusvk","Slovakia","svk",14276375016.991154
"eu","Europe","eusvn","Slovenia","svn",995372769.7587883
"eu","Europe","euswe","Sweden","swe",3299495990.0459843
"eu","Europe","euukr","Ukraine","ukr",1511127488.787347
"na","North America","naabw","Aruba","abw",60742
"na","North America","naaia","Anguilla","aia",126976
"na","North America","naatg","Antigua and Barbuda","atg",45074.25109910085
"na","North America","nabes","Bonaire","bes",35955.99999999999
"na","North America","nabhs","Bahamas","bhs",76618
"na","North America","nablm","Saint Barthélemy","blm",30161
"na","North America","nablz","Belize","blz",492921.28807285015
"na","North America","nabmu","Bermuda","bmu",173623.64829726238
"na","North America","nabrb","Barbados","brb",303057.98141644057
"na","North America","nacan","Canada","can",461935937.4006534
"na","North America","nacri","Costa Rica","cri",10891004.5745871
"na","North America","nacub","Cuba","cub",33134567
"na","North America","nacuw","Curaçao","cuw",432281
"na","North America","nacym","Cayman Islands","cym",376249
"na","North America","nadma","Dominica","dma",26173.999999999996
"na","North America","nadom","Dominican Republic","dom",12664240
"na","North America","nagrd","Grenada","grd",28695
"na","North America","nagrl","Greenland","grl",1926131.7350897458
"na","North America","nagtm","Guatemala","gtm",8063190
"na","North America","nahnd","Honduras","hnd",7003790
