"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Animals; live",10101,"Horses",2585746.08830004
1,"Animal Products",101,"Animals; live",10102,"Bovine",226906089.49163523
1,"Animal Products",101,"Animals; live",10103,"Pigs",61105409.21407644
1,"Animal Products",101,"Animals; live",10104,"Sheep and Goats",1429390.0493924066
1,"Animal Products",101,"Animals; live",10105,"Poultry",90563818.7501907
1,"Animal Products",101,"Animals; live",10106,"Other Animals",16583353.03482002
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",57864862.451283626
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",8540067.280463932
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",66974030.5452768
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1478822.458500893
1,"Animal Products",102,"Meat and edible meat offal",10205,"Horse Meat",110328.33285060972
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",8530640.60392938
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",61555202.474705465
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",13025526.831862282
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",1366978.725408939
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",4758126.122928941
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",50929110.943936266
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",49325047.976894096
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",9483322.263323454
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",41663409.60470938
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",4480593.818403317
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",3215250.9892941336
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",3478992.020858343
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10401,"Milk",407423441.0317483
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10402,"Concentrated Milk",87190793.4301704
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10403,"Fermented Milk Products",74979428.12143779
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10404,"Whey",46785521.693612285
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10405,"Butter",14859868.85681235
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10406,"Cheese",242220875.21755996
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10407,"Eggs",45887520.08917233
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10408,"Processed Egg Products",5820422.599717104
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10409,"Honey",5212461.801644613
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10410,"Other Edible Animal Products",34617.6947637281
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10501,"Human Hair",4903
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10502,"Pig Hair",70275
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",28600663.119215176
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",8189982.560055392
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10506,"Processed Bones",243917.30497397098
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10507,"Raw Bones",5832071.477800439
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",656460.8220042728
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10510,"Pharmaceutical Animal Products",33318.55251066919
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",16247168.447540209
2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20601,"Bulbs and Roots",605785.4334448779
2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20602,"Other Live Plants",18254277.94978957
2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20603,"Cut Flowers",15061317.6670823
2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20604,"Foliage",12147360.075302174
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",11049288.371492542
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",9438422.787371032
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",7231952.513779615
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",6599619.037457237
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20705,"Lettuce",5021403.268598047
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",8703755.503264673
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20707,"Cucumbers",7348492.685346492
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20708,"Legumes",1462819.348308623
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",27427493.723046146
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",15945894.489078531
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",1099952.062735294
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",5791633.031734023
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",15532266.194590317
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",985813.1002682124
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",4076001.731226156
