"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Animals; live",10101,"Horses",15527562.140928818
1,"Animal Products",101,"Animals; live",10102,"Bovine",5997473.686995806
1,"Animal Products",101,"Animals; live",10103,"Pigs",14776395.424303722
1,"Animal Products",101,"Animals; live",10104,"Sheep and Goats",39695
1,"Animal Products",101,"Animals; live",10105,"Poultry",27595497.107572127
1,"Animal Products",101,"Animals; live",10106,"Other Animals",6826589.470127294
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",174217258.46354443
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",16940983.414719522
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",671031781.1190019
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",4323701.455321146
1,"Animal Products",102,"Meat and edible meat offal",10205,"Horse Meat",579845.0777014559
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",20491210.63047237
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",307109751.9440049
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",14020645.967743484
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",15001666.582497733
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",43153648.779063694
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",6881893.6641642
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",149220543.57707506
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",16822771.954480376
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",94832639.25540067
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",18297334.301026933
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",19540711.488714356
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",6670838.145171437
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10401,"Milk",39707280.356695525
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10402,"Concentrated Milk",16025472.879355542
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10403,"Fermented Milk Products",55716043.82011852
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10404,"Whey",16924285.171940636
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10405,"Butter",123138288.8240584
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10406,"Cheese",410132511.98138165
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10407,"Eggs",39236996.82127389
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10408,"Processed Egg Products",25393757.407590173
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10409,"Honey",8566094.108320223
1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10410,"Other Edible Animal Products",111224.11016000093
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10501,"Human Hair",87668
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10502,"Pig Hair",2381291.1483079144
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",41847639.48613093
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",7761319.332492176
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10506,"Processed Bones",2397380.0154324877
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10507,"Raw Bones",7928562.926891403
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",788863.021526463
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10510,"Pharmaceutical Animal Products",6597
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",35153383.25373445
2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20601,"Bulbs and Roots",11436344.988470636
2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20602,"Other Live Plants",110515321.68567626
2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20603,"Cut Flowers",104871955.72249252
2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20604,"Foliage",22041647.839423485
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20701,"Potatoes",40827034.39388946
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20702,"Tomatoes",103119891.39107192
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",44039947.78357531
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",41551555.70836976
