"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",240711
"af","Africa","afbdi","Burundi","bdi",45427.804882932796
"af","Africa","afben","Benin","ben",92290.79951066377
"af","Africa","afbfa","Burkina Faso","bfa",394161.2989400695
"af","Africa","afcaf","Central African Republic","caf",3095.73672289594
"af","Africa","afciv","Cote d'Ivoire","civ",13427127.394173456
"af","Africa","afcmr","Cameroon","cmr",17686774.560044263
"af","Africa","afcod","Democratic Republic of the Congo","cod",120138.21599598372
"af","Africa","afcog","Republic of the Congo","cog",757602.5425398243
"af","Africa","afcom","Comoros","com",254182.38824814965
"af","Africa","afcpv","Cape Verde","cpv",1184.0000000000002
"af","Africa","afdji","Djibouti","dji",26545.92991669112
"af","Africa","afdza","Algeria","dza",40000666.39764368
"af","Africa","afegy","Egypt","egy",140382014.42133483
"af","Africa","afeth","Ethiopia","eth",9570039.401469188
"af","Africa","afgab","Gabon","gab",119813.95433398063
"af","Africa","afgha","Ghana","gha",7395355.066077417
"af","Africa","afgin","Guinea","gin",162897.0170117538
"af","Africa","afgmb","Gambia","gmb",69504.05221592233
"af","Africa","afgnb","Guinea-Bissau","gnb",31768.65540997971
"af","Africa","afgnq","Equatorial Guinea","gnq",151719.5837127039
"af","Africa","afken","Kenya","ken",4130986.5601460044
"af","Africa","aflbr","Liberia","lbr",7636271.604276982
"af","Africa","aflby","Libya","lby",38631274.41093932
"af","Africa","afmar","Morocco","mar",250493877.34706077
"af","Africa","afmdg","Madagascar","mdg",4122572.7243689573
"af","Africa","afmli","Mali","mli",236739.05592504682
"af","Africa","afmoz","Mozambique","moz",29017703.467337195
"af","Africa","afmrt","Mauritania","mrt",143292.75810962688
"af","Africa","afmus","Mauritius","mus",9901254.42092039
"af","Africa","afmwi","Malawi","mwi",5312959.452733884
"af","Africa","afner","Niger","ner",659102.3207304105
"af","Africa","afnga","Nigeria","nga",8222762.960738058
"af","Africa","afrwa","Rwanda","rwa",1975123.882988883
"af","Africa","afsdn","Sudan","sdn",168310
"af","Africa","afsen","Senegal","sen",1313557.0332805503
"af","Africa","afsle","Sierra Leone","sle",1301256.6780344201
"af","Africa","afsom","Somalia","som",88469.2214140248
"af","Africa","afssd","South Sudan","ssd",5083
"af","Africa","afstp","Sao Tome and Principe","stp",518467.9297902742
"af","Africa","afsyc","Seychelles","syc",250595.30621722218
"af","Africa","aftcd","Chad","tcd",2748
"af","Africa","aftgo","Togo","tgo",636059.1363170659
"af","Africa","aftun","Tunisia","tun",229723270.47892672
"af","Africa","aftza","Tanzania","tza",11494884.901829569
"af","Africa","afuga","Uganda","uga",1554085.4008111155
"af","Africa","afzaf","South Africa","zaf",416304222.51881164
"af","Africa","afzmb","Zambia","zmb",176240.34738883242
"af","Africa","afzwe","Zimbabwe","zwe",1935149.7845048269
"an","Antarctica","anatf","French South Antarctic Territory","atf",245518
"as","Asia","asafg","Afghanistan","afg",151693.85112969673
"as","Asia","asare","United Arab Emirates","are",113203004.70343657
"as","Asia","asarm","Armenia","arm",4563711.788491738
"as","Asia","asaze","Azerbaijan","aze",954096262.708316
"as","Asia","asbgd","Bangladesh","bgd",566630476.2375337
"as","Asia","asbhr","Bahrain","bhr",16469435.662931437
"as","Asia","asbrn","Brunei","brn",5953
"as","Asia","asbtn","Bhutan","btn",104475.9257581344
"as","Asia","ascck","Cocos (Keeling) Islands","cck",6482
"as","Asia","aschn","China","chn",18973281370.23858
"as","Asia","ascxr","Christmas Island","cxr",4396
"as","Asia","ascyp","Cyprus","cyp",49236529.99238229
"as","Asia","asgeo","Georgia","geo",26539404.963795073
"as","Asia","ashkg","Hong Kong","hkg",133840166.93253355
"as","Asia","asidn","Indonesia","idn",287287653.2106875
"as","Asia","asind","India","ind",671612800.8550448
"as","Asia","asiot","British Indian Ocean Territory","iot",21798
"as","Asia","asirn","Iran","irn",18062459.76693564
"as","Asia","asirq","Iraq","irq",70431.0096087337
"as","Asia","asisr","Israel","isr",276106899.6870241
"as","Asia","asjor","Jordan","jor",2810384.1281683603
"as","Asia","asjpn","Japan","jpn",2137551665.155007
"as","Asia","askaz","Kazakhstan","kaz",591365875.7814726
"as","Asia","askgz","Kyrgyzstan","kgz",2408883.737215491
"as","Asia","askhm","Cambodia","khm",235245761.68741465
"as","Asia","askor","South Korea","kor",3176526915.1150303
"as","Asia","askwt","Kuwait","kwt",3254196.0977817085
"as","Asia","aslao","Laos","lao",5133954.918549844
"as","Asia","aslbn","Lebanon","lbn",2583562.3644470605
"as","Asia","aslka","Sri Lanka","lka",59847379.20994648
"as","Asia","asmac","Macau","mac",788671
"as","Asia","asmdv","Maldives","mdv",583355.3997120697
"as","Asia","asmmr","Burma","mmr",84945879.24331546
"as","Asia","asmng","Mongolia","mng",912116.1991640266
"as","Asia","asmys","Malaysia","mys",1067581313.9955935
"as","Asia","asnpl","Nepal","npl",4134753.6368688373
"as","Asia","asomn","Oman","omn",19390354.86890507
"as","Asia","aspak","Pakistan","pak",166958957.97866648
"as","Asia","asphl","Philippines","phl",491884001.8464934
"as","Asia","asprk","North Korea","prk",17050.31690447856
"as","Asia","aspse","Palestine","pse",70828
"as","Asia","asqat","Qatar","qat",11793853.353609428
"as","Asia","assau","Saudi Arabia","sau",111665920.3174942
"as","Asia","assgp","Singapore","sgp",550113378.2366544
"as","Asia","assyr","Syria","syr",223235.87455562863
"as","Asia","astha","Thailand","tha",1041202445.034387
"as","Asia","astjk","Tajikistan","tjk",312149.05674322
"as","Asia","astkm","Turkmenistan","tkm",500224.4384100896
"as","Asia","astur","Turkey","tur",1171150243.7254174
"as","Asia","asuzb","Uzbekistan","uzb",5954913.4314016085
"as","Asia","asvnm","Vietnam","vnm",1019086972.4953165
"as","Asia","asxxb","Chinese Taipei",,857485843.5153277
"as","Asia","asyem","Yemen","yem",6157.34772956729
"eu","Europe","eualb","Albania","alb",45205959.90701595
"eu","Europe","euand","Andorra","and",299127.73814317613
"eu","Europe","euaut","Austria","aut",6356927345.040392
"eu","Europe","eubgr","Bulgaria","bgr",707874872.7590889
"eu","Europe","eubih","Bosnia and Herzegovina","bih",131686152.5795741
"eu","Europe","eublr","Belarus","blr",126147873.76930074
"eu","Europe","eublx","Belgium-Luxembourg","blx",3962668749.4393806
"eu","Europe","euche","Switzerland","che",1796826123.7542408
"eu","Europe","eudeu","Germany","deu",49216021685.12036
"eu","Europe","eudnk","Denmark","dnk",896000684.8277119
"eu","Europe","euesp","Spain","esp",2963011828.0574064
"eu","Europe","euest","Estonia","est",142785985.83168983
"eu","Europe","eufin","Finland","fin",441490615.43573624
"eu","Europe","eufra","France","fra",5853774224.017282
"eu","Europe","eugbr","United Kingdom","gbr",3222880397.88712
"eu","Europe","eugib","Gibraltar","gib",21437.9245770978
"eu","Europe","eugrc","Greece","grc",316451824.01699626
"eu","Europe","euhrv","Croatia","hrv",311780255.4026542
"eu","Europe","euhun","Hungary","hun",5108948264.946071
"eu","Europe","euirl","Ireland","irl",1332791399.776502
"eu","Europe","euisl","Iceland","isl",58384561.20534504
"eu","Europe","euita","Italy","ita",7622473645.641206
"eu","Europe","eultu","Lithuania","ltu",378562843.9202122
"eu","Europe","eulva","Latvia","lva",200488340.6527641
"eu","Europe","eumda","Moldova","mda",56196341.35762875
"eu","Europe","eumkd","North Macedonia","mkd",298664280.46165794
"eu","Europe","eumlt","Malta","mlt",30911689.02242408
"eu","Europe","eumne","Montenegro","mne",6253905.634838201
"eu","Europe","eunld","Netherlands","nld",7254743550.986319
"eu","Europe","eunor","Norway","nor",297127024.1173896
"eu","Europe","eupol","Poland","pol",16064634312.454237
"eu","Europe","euprt","Portugal","prt",514444803.0304317
"eu","Europe","eurou","Romania","rou",2430870678.5228815
"eu","Europe","eurus","Russia","rus",5476536917.123543
"eu","Europe","eusmr","San Marino","smr",696392.5636575874
"eu","Europe","eusrb","Serbia","srb",590961814.3766809
